2,2924.4
3,2817.54
4,1556.07
5,760.179
6,540.693
7,101.884
8,102.358
9,95.7885
10,91.4166
11,70.8691
12,57.1291
13,39.6323
14,32.2739
15,27.904
16,23.7845
17,28.455
18,22.4131
19,16.3563
20,20.891
21,10.6661
22,8.26955
23,7.85701
24,9.49722
25,9.40331
26,5.54555
27,8.12662
28,7.09154
29,8.26238
30,8.68049
2,6394.14
3,3844.37
4,2564.15
5,1769.88
6,681.862
7,318.521
8,113.725
9,89.1878
10,85.3618
11,63.0506
12,59.3941
13,50.4013
14,40.1518
15,48.9344
16,42.0481
17,41.8395
18,30.6352
19,34.1928
20,23.6539
21,25.5659
22,19.9504
23,16.3582
24,12.3417
25,7.5989
26,6.10667
27,5.68131
28,2.74361
29,2.22284
30,1.96249
2,6601.5
3,1186.82
4,866.336
5,230.795
6,210.147
7,163.812
8,98.2222
9,66.7816
10,39.0028
11,25.3832
12,37.335
13,40.4628
14,30.9414
15,22.5239
16,22.8495
17,19.4625
18,12.508
19,10.497
20,10.8427
21,11.5206
22,9.84649
23,13.0313
24,4.82083
25,14.9871
26,7.12901
27,6.04443
28,6.59909
29,9.85105
30,6.62553
2,15255.6
3,3360.71
4,3263.82
5,1470.57
6,842.161
7,369.874
8,67.3512
9,62.3836
10,52.89
11,40.2451
12,34.0231
13,19.5501
14,18.584
15,12.7916
16,17.401
17,12.615
18,5.892
19,5.80915
20,3.44402
21,5.2643
22,5.87971
23,4.89285
24,4.1401
25,5.30033
26,4.65423
27,1.05227
28,5.70354
29,4.63846
30,8.48233
2,5283.77
3,896.356
4,393.459
5,254.911
6,164.754
7,145.488
8,111.189
9,86.7174
10,70.909
11,67.9322
12,52.8207
13,47.4522
14,25.8355
15,18.2849
16,19.7307
17,13.8389
18,4.68947
19,9.16273
20,15.3554
21,19.9133
22,14.1995
23,11.3228
24,5.28712
25,2.90272
26,5.17655
27,4.91667
28,4.78498
29,5.61012
30,11.4841
2,2696.76
3,748.332
4,628.489
