2,4285.91
3,3173.66
4,1580.38
5,320.752
6,347.722
7,170.459
8,49.8827
9,92.8648
10,43.8949
11,40.5596
12,15.3197
13,18.2035
14,62.8185
15,16.0774
16,8.468
17,9.73625
18,8.28859
19,25.0686
20,14.2299
21,15.0958
22,52.6498
23,19.736
24,10.8744
25,5.98744
26,17.5341
27,23.2121
28,30.3748
29,14.3453
30,18.217
2,13082.6
3,9184.09
4,8241.23
5,3295.8
6,2335.4
7,859.304
8,311.206
9,178.58
10,75.9274
11,45.042
12,35.118
13,66.8889
14,25.4294
15,24.8261
16,19.0187
17,10.1917
18,4.90791
19,17.0966
20,8.41961
21,21.9186
22,16.8798
23,4.05915
24,24.3221
25,28.6303
26,19.6595
27,36.6362
28,25.56
29,33.3349
30,8.43841
2,9041.63
3,7789.87
4,3215.26
5,1694.45
6,907.384
7,515.801
8,198.233
9,122.653
10,116.094
11,67.8778
12,28.0939
13,21.735
14,37.8619
15,70.7928
16,66.0428
17,25.1172
18,34.7215
19,30.6877
20,26.5617
21,29.3845
22,15.5856
23,11.5307
24,6.57007
25,24.1566
26,18.821
27,15.7996
28,15.8976
29,2.96105
30,23.5598
2,5265.97
3,1735.26
4,644.422
5,130.664
6,26.7184
7,51.3514
8,3.21383
9,14.6354
10,8.24908
11,16.8816
12,29.8561
13,9.61751
14,41.8332
15,14.7905
16,28.8522
17,14.5448
18,19.5447
19,41.1432
20,10.3273
21,7.47404
22,5.6353
23,12.5359
24,13.1965
25,16.2789
26,6.7291
27,1.82885
28,14.4564
29,15.8679
30,25.9503
2,8562.29
3,3834.07
4,655.02
5,357.174
6,306.036
7,188.621
8,120.822
9,68.7452
10,12.1719
11,10.3653
12,19.4067
13,4.3555
14,13.8411
15,15.9237
16,1.56481
17,25.0106
18,9.94973
19,8.58381
20,28.503
21,23.04
22,28.8655
23,78.2051
24,52.3592
25,21.6873
26,26.8288
27,7.54019
28,10.5875
29,9.95728
30,18.3944
2,7846.93
3,4855.19
4,3962.46
5,3120.27
6,1373.04
7,419.838
8,359.04
9,202.561
10,72.7995
11,24.3178
12,42.3902
13,24.7302
14,33.8803
15,34.1645
16,20.5899
17,15.8985
18,41.6238
19,16.527
20,33.2613
21,26.4818
22,7.05186
23,7.39974
24,6.59883
25,7.91946
26,12.8899
27,28.0731
28,46.6835
29,9.43346
30,20.38
2,41538.2
3,3150.64
4,3169.19
5,2214.76
6,1176.5
7,316.153
8,281.779
9,138.705
10,130.446
11,136.339
12,88.1343
13,68.1674
14,98.6105
15,55.0436
16,37.8313
17,113.908
18,74.28
19,70.9966
20,97.3719
21,93.7911
22,57.9722
23,59.081
24,35.9657
25,37.2724
26,40.2476
27,14.8669
28,38.768
29,23.567
30,23.42
2,1112.85
3,485.948
4,57.9156
5,49.4296
6,18.375
7,35.884
8,25.2513
9,43.8571
10,41.201
11,13.1301
12,13.8845
13,18.2875
14,18.1942
15,3.61316
16,13.1476
